RENT_STATION_NAME,06~09,09~12,12~15,15~18,18~21,기타
군자동_012_1,36,1,11,22,24,62
군자동_014_2,0,5,13,18,21,7
군자동_014_4,7,10,10,18,17,22
군자동_014_5,13,23,54,47,15,20
군자동_017_1,35,12,6,7,27,9
군자동_023_1,38,11,5,12,33,15
군자동_032_1,84,44,29,33,54,52
군자동_032_2,76,36,20,40,51,61
군자동_035_1,82,42,32,40,118,86
군자동_035_2,12,8,14,26,32,50
금호1가동_011_1,9,10,3,0,4,6
"금호2,3가동_014_1",4,6,0,6,2,8
"금호2,3가동_016_1",5,3,4,4,9,3
"금호2,3가동_033_1",10,2,2,12,4,2
"금호2,3가동_041_1",13,1,8,10,5,3
금호4가동_002_1,9,9,6,11,15,0
금호4가동_002_2,0,0,2,4,10,0
금호4가동_005_1,2,2,0,6,4,4
금호4가동_007_1,2,2,0,0,2,8
금호4가동_019_1,18,9,12,26,25,12
길동_012_1,38,36,39,58,75,64
길동_012_2,42,45,47,49,85,48
길동_027_1,20,18,7,10,22,25
길동_032_1,26,4,13,2,1,0
길동_032_2,9,9,5,8,14,11
길동_044_1,38,26,16,30,34,26
길동_053_1,11,3,4,2,4,2
길동_059_1,56,15,12,23,36,16
길음1동_016_1,0,1,1,4,0,2
길음1동_024_1,16,5,0,8,9,14
길음1동_041_1,13,0,0,4,4,3
길음1동_057_1,20,2,0,7,14,7
길음1동_065_1,12,8,2,0,18,4
길음1동_072_2,13,10,9,12,18,28
길음2동_001_1,2,0,2,0,2,2
길음2동_002_2,4,6,11,5,12,2
길음2동_030_1,16,6,8,3,11,14
낙성대동_001_2,2,2,5,11,6,6
낙성대동_001_3,0,0,0,2,0,2
낙성대동_002_1,18,11,5,2,6,12
낙성대동_002_2,0,2,2,2,5,7
낙성대동_002_3,0,2,4,4,7,7
낙성대동_003_1,0,2,0,2,4,6
낙성대동_003_2,8,8,10,5,12,9
낙성대동_014_1,6,6,8,4,16,12
낙성대동_016_1,6,9,16,22,30,15
낙성대동_031_1,6,4,4,2,6,10
낙성대동_032_1,4,6,2,2,6,12
난곡동_008_1,32,7,12,13,23,21
난향동_025_1,15,7,3,10,5,8
남가좌1동_008_1,9,2,10,9,16,22
남가좌1동_014_1,41,31,31,34,45,12
남가좌1동_015_1,21,26,13,13,21,16
남가좌1동_016_1,4,4,2,0,12,8
남가좌1동_016_2,74,7,18,28,15,8
남가좌1동_019_1,56,11,6,7,10,6
남가좌1동_020_1,29,17,9,10,12,9
남가좌2동_016_1,20,2,8,19,12,9
남가좌2동_018_2,33,16,29,38,14,34
남가좌2동_021_1,26,13,15,24,25,23
남영동_001_1,4,0,8,5,18,5
남영동_001_2,2,8,12,8,12,8
남영동_003_1,8,10,20,21,14,27
남영동_003_2,14,6,0,8,13,7
남영동_003_3,23,9,12,18,27,35
남영동_004_1,12,8,9,14,24,11
남영동_009_1,16,12,2,9,11,20
남현동_008_1,6,4,5,3,15,19
남현동_019_1,15,9,9,3,22,30
내곡동_001_1,4,15,36,62,24,5
내곡동_001_2,6,4,2,4,10,2
내곡동_002_1,0,0,0,2,2,0
내곡동_002_2,2,4,2,2,0,2
내곡동_002_4,0,2,0,2,0,0
내곡동_004_1,2,1,3,0,2,2
내곡동_004_2,6,4,4,2,0,2
내곡동_005_2,2,0,0,0,0,0
